source_list_slug,source_list_id,rank,listed_at,list_item_id,type,title,year,trakt_id,trakt_slug,tmdb_id,imdb_id,tvdb_id,tmdb_detected_type,tmdb_name,tmdb_first_air_date,tmdb_status,tmdb_genres,tmdb_runtime_min,tmdb_network,tmdb_origin_country,tmdb_number_of_seasons,tmdb_number_of_episodes,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,tmdb_original_language,tmdb_error,year_start,decade,network_norm,genres_list,has_tmdb_error
arquivo-dos-desenhos-da-infancia-2,33772081,7,2026-02-09T18:57:26.000Z,1425679480,show,Adventure Time,2010,15195,adventure-time,15260.0,tt1305826,152831.0,tv,Adventure Time,2010-04-05,Ended,"Animation, Comedy, Sci-Fi & Fantasy",11.0,Cartoon Network,US,10.0,279.0,8.497,3018,81.1859,en,,2010,2010,Cartoon Network,"['Animation', 'Comedy', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,100,2026-02-09T18:55:02.000Z,1425678730,show,American Dragon: Jake Long,2005,345,american-dragon-jake-long,346.0,tt0429305,74344.0,tv,American Dragon: Jake Long,2005-01-21,Ended,"Animation, Comedy, Action & Adventure, Family, Kids",22.0,Disney Channel,US,2.0,55.0,7.7,493,16.7795,en,,2005,2000,Disney Channel,"['Animation', 'Comedy', 'Action & Adventure', 'Family', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,84,2026-02-09T18:48:35.000Z,1425676236,show,Animal Mechanicals,2008,20990,animal-mechanicals,21086.0,tt1516169,204281.0,tv,Animal Mechanicals,2008-09-01,Ended,"Animation, Sci-Fi & Fantasy, Kids",704.0,CBC Television,CA,3.0,55.0,7.1,14,1.0091,en,,2008,2000,CBC Television,"['Animation', 'Sci-Fi & Fantasy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,95,2026-02-09T18:51:20.000Z,1425677346,show,Art Attack,2000,227076,art-attack-2000,229619.0,,,tv,Art Attack,2000-12-01,Returning Series,"Family, Kids",,Disney Channel,BR,8.0,118.0,7.0,2,0.4614,pt,,2000,2000,Disney Channel,"['Family', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,23,2026-02-09T18:30:29.000Z,1425669146,show,Baby Looney Tunes,2002,668,baby-looney-tunes,670.0,tt0338580,71301.0,tv,Baby Looney Tunes,2002-09-07,Ended,"Animation, Comedy, Kids",12.0,Cartoon Network,US,2.0,102.0,7.1,310,13.954,en,,2002,2000,Cartoon Network,"['Animation', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,83,2026-02-09T18:48:15.000Z,1425676093,show,Barney and Friends,1992,4861,barney-and-friends,4887.0,tt0144701,72180.0,tv,Barney & Friends,1992-04-06,Returning Series,"Comedy, Family, Kids",30.0,PBS Kids,US,14.0,308.0,5.712,92,15.2397,en,,1992,1990,PBS Kids,"['Comedy', 'Family', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,71,2026-02-09T18:46:03.000Z,1425675220,show,Ben 10,2005,4662,ben-10,4686.0,tt0760437,79567.0,tv,Ben 10,2005-12-27,Ended,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy, Kids",22.0,Cartoon Network,US,4.0,52.0,8.2,1751,30.6962,en,,2005,2000,Cartoon Network,"['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure', 'Comedy', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,72,2026-02-09T18:46:08.000Z,1425675332,show,Ben 10: Alien Force,2008,6002,ben-10-alien-force,6040.0,tt1192169,81841.0,tv,Ben 10: Alien Force,2008-04-18,Ended,"Animation, Sci-Fi & Fantasy, Action & Adventure",23.0,Cartoon Network,US,3.0,46.0,8.3,1147,22.6352,en,,2008,2000,Cartoon Network,"['Animation', 'Sci-Fi & Fantasy', 'Action & Adventure']",False
arquivo-dos-desenhos-da-infancia,33771833,78,2026-02-09T18:47:14.000Z,1425675746,show,Bob the Builder,1999,10887,bob-the-builder,10938.0,tt0262151,78685.0,tv,Bob the Builder,1999-04-12,Ended,"Kids, Animation, Family",10.0,BBC One,GB,18.0,255.0,5.932,125,20.3415,en,,1999,1990,BBC One,"['Kids', 'Animation', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,85,2026-02-09T18:48:50.000Z,1425676331,show,"Caillou (Brentanimate) (Goanimate ""Not The Vyond"")",1997,3198,caillou-brentanimate-goanimate-not-the-vyond,3218.0,tt0262153,77953.0,tv,Caillou,1997-09-15,Ended,"Animation, Family, Kids",30.0,Teletoon,CA,23.0,230.0,5.3,73,11.7532,fr,,1997,1990,Teletoon,"['Animation', 'Family', 'Kids']",False
arquivo-dos-desenhos-da-infancia,33771833,67,2026-02-09T18:45:06.000Z,1425674607,show,Camp Lazlo,2005,556,camp-lazlo,557.0,tt0419315,74816.0,tv,Camp Lazlo,2005-07-08,Ended,"Animation, Comedy, Family",22.0,Cartoon Network,US,5.0,114.0,6.9,157,12.6822,en,,2005,2000,Cartoon Network,"['Animation', 'Comedy', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,54,2026-02-09T18:40:16.000Z,1425672669,show,Castelo Rá-Tim-Bum,1994,78385,castelo-ra-tim-bum,35254.0,tt0331732,281499.0,tv,Castelo Rá-Tim-Bum,1994-05-09,Ended,"Kids, Comedy, Family, Sci-Fi & Fantasy",27.0,TV Cultura,BR,1.0,90.0,8.431,29,2.8221,pt,,1994,1990,TV Cultura,"['Kids', 'Comedy', 'Family', 'Sci-Fi & Fantasy']",False
arquivo-dos-desenhos-da-infancia,33771833,15,2026-02-09T18:26:59.000Z,1425667263,show,Charlie and Lola,2005,30824,charlie-and-lola,30958.0,tt0487813,75933.0,tv,Charlie and Lola,2005-11-07,Ended,"Kids, Animation, Family",11.0,CBeebies,GB,4.0,78.0,6.779,34,5.6953,en,,2005,2000,CBeebies,"['Kids', 'Animation', 'Family']",False
arquivo-dos-desenhos-da-infancia,33771833,51,2026-02-09T18:39:44.000Z,1425672466,show,Chip 'n Dale Rescue Rangers,1989,1604,chip-n-dale-rescue-rangers,1615.0,tt0096557,75477.0,tv,Chip 'n' Dale Rescue Rangers,1989-03-04,Ended,"Animation, Comedy, Kids, Family, Action & Adventure",22.0,Disney Channel,US,3.0,65.0,7.578,531,20.2437,en,,1989,1980,Disney Channel,"['Animation', 'Comedy', 'Kids', 'Family', 'Action & Adventure']",False
